np_ave=174762
used mem size for tree=347881952
used mem size for tree(0)=0.347881952
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +1.859665e-04 +5.507469e-05 +8.498907e-03 +4.460478e-02 +3.810620e-02 +3.125079e-01 +4.416943e-03 +6.329060e-03 +2.393961e-03 +0.000000e+00 +3.535032e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.756876e-03 +4.461217e-02 +3.778768e-02 +3.130322e-01 +4.418850e-03 +6.203890e-03 +2.409220e-03 +0.000000e+00 +3.584862e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.828163e-03 +4.475904e-02 +3.801394e-02 +3.124590e-01 +4.430056e-03 +6.328106e-03 +2.315998e-03 +0.000000e+00 +3.618002e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.898020e-03 +4.464984e-02 +3.804111e-02 +3.126070e-01 +4.400969e-03 +6.228924e-03 +2.362013e-03 +0.000000e+00 +3.519058e-03 +0.000000e+00
 +2.150536e-04 +5.412102e-05 +8.814812e-03 +4.512501e-02 +3.827000e-02 +3.172061e-01 +4.462957e-03 +6.493092e-03 +2.128124e-03 +0.000000e+00 +3.001928e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.881807e-03 +4.509282e-02 +3.812408e-02 +3.168781e-01 +4.446983e-03 +6.450891e-03 +2.054930e-03 +0.000000e+00 +3.213167e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.565187e-03 +4.512382e-02 +3.818989e-02 +3.172441e-01 +4.480839e-03 +6.428003e-03 +2.108812e-03 +0.000000e+00 +3.110886e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.636951e-03 +4.509687e-02 +3.815818e-02 +3.170810e-01 +4.484892e-03 +6.484985e-03 +2.074003e-03 +0.000000e+00 +3.251076e-03 +0.000000e+00
 +1.490116e-04 +5.388260e-05 +8.740187e-03 +4.439306e-02 +3.805709e-02 +3.107719e-01 +4.472971e-03 +6.544828e-03 +1.990795e-03 +0.000000e+00 +3.633976e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.791924e-03 +4.451013e-02 +3.795409e-02 +3.105090e-01 +4.433870e-03 +6.469011e-03 +1.978159e-03 +0.000000e+00 +4.040956e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.900166e-03 +4.454088e-02 +3.827119e-02 +3.106382e-01 +4.434109e-03 +6.496906e-03 +2.032995e-03 +0.000000e+00 +3.669977e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.705854e-03 +4.447293e-02 +3.815579e-02 +3.106182e-01 +4.504919e-03 +6.417036e-03 +1.924992e-03 +0.000000e+00 +3.614902e-03 +0.000000e+00
 +8.702278e-05 +5.316734e-05 +8.613825e-03 +4.459906e-02 +3.852105e-02 +3.115120e-01 +4.415989e-03 +6.617069e-03 +1.742125e-03 +0.000000e+00 +4.268885e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.671045e-03 +4.444003e-02 +3.827596e-02 +3.113708e-01 +4.420996e-03 +6.570816e-03 +1.771927e-03 +0.000000e+00 +4.530191e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.855104e-03 +4.452491e-02 +3.849816e-02 +3.114748e-01 +4.339933e-03 +6.731033e-03 +1.824141e-03 +0.000000e+00 +4.206896e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.697033e-03 +4.443288e-02 +3.843999e-02 +3.114591e-01 +4.424095e-03 +6.613016e-03 +1.724005e-03 +0.000000e+00 +4.304886e-03 +0.000000e+00
 +1.330376e-04 +6.294250e-05 +8.771181e-03 +4.484367e-02 +3.873491e-02 +3.122008e-01 +4.609108e-03 +6.793022e-03 +2.126932e-03 +0.000000e+00 +3.226042e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.862972e-03 +4.480386e-02 +3.876400e-02 +3.121579e-01 +4.649162e-03 +6.796122e-03 +2.003908e-03 +0.000000e+00 +3.334999e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.866072e-03 +4.473615e-02 +3.858995e-02 +3.118942e-01 +4.648924e-03 +6.743908e-03 +2.116203e-03 +0.000000e+00 +3.284931e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.498907e-03 +4.478502e-02 +3.875208e-02 +3.121269e-01 +4.627943e-03 +6.755114e-03 +2.135992e-03 +0.000000e+00 +3.363132e-03 +0.000000e+00
 +1.409054e-04 +5.412102e-05 +8.683920e-03 +4.451799e-02 +3.837609e-02 +3.096581e-01 +4.646063e-03 +6.844997e-03 +2.092838e-03 +0.000000e+00 +3.624916e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.889914e-03 +4.451704e-02 +3.858399e-02 +3.094780e-01 +4.604101e-03 +6.852150e-03 +2.105951e-03 +0.000000e+00 +3.390074e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.559942e-03 +4.450297e-02 +3.835893e-02 +3.095319e-01 +4.666090e-03 +6.839037e-03 +2.203941e-03 +0.000000e+00 +3.336191e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.614063e-03 +4.445481e-02 +3.846908e-02 +3.096230e-01 +4.566193e-03 +6.816864e-03 +2.053976e-03 +0.000000e+00 +3.551006e-03 +0.000000e+00
 +8.392334e-05 +5.507469e-05 +8.746862e-03 +4.475403e-02 +3.869605e-02 +3.117800e-01 +4.641056e-03 +6.806135e-03 +2.182961e-03 +0.000000e+00 +3.283978e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.727074e-03 +4.462504e-02 +3.867674e-02 +3.117270e-01 +4.633904e-03 +6.818056e-03 +2.277136e-03 +0.000000e+00 +3.170013e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.635998e-03 +4.459906e-02 +3.868103e-02 +3.115931e-01 +4.662037e-03 +6.817102e-03 +2.110004e-03 +0.000000e+00 +3.414869e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.846045e-03 +4.478693e-02 +3.864193e-02 +3.118579e-01 +4.639149e-03 +6.776094e-03 +2.190828e-03 +0.000000e+00 +3.224850e-03 +0.000000e+00
 +1.883507e-05 +5.197525e-05 +8.768797e-03 +4.430389e-02 +3.837276e-02 +3.094141e-01 +4.526138e-03 +6.829023e-03 +2.287865e-03 +0.000000e+00 +3.641129e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.474112e-03 +4.441810e-02 +3.832674e-02 +3.099968e-01 +4.527807e-03 +6.856918e-03 +2.223969e-03 +0.000000e+00 +3.581047e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.486986e-03 +4.441714e-02 +3.806686e-02 +3.096280e-01 +4.616976e-03 +6.835938e-03 +2.310038e-03 +0.000000e+00 +3.567934e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.503914e-03 +4.436970e-02 +3.843188e-02 +3.097541e-01 +4.575014e-03 +6.858110e-03 +2.241135e-03 +0.000000e+00 +3.600836e-03 +0.000000e+00
 +4.982948e-05 +5.507469e-05 +8.666039e-03 +4.431200e-02 +3.824306e-02 +3.095140e-01 +4.510880e-03 +6.843090e-03 +2.566099e-03 +0.000000e+00 +3.601074e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.546114e-03 +4.434824e-02 +3.835607e-02 +3.093359e-01 +4.542828e-03 +6.895065e-03 +2.607107e-03 +0.000000e+00 +3.466129e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.575916e-03 +4.437566e-02 +3.834105e-02 +3.091180e-01 +4.487991e-03 +6.814003e-03 +2.529144e-03 +0.000000e+00 +3.652096e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.582115e-03 +4.433513e-02 +3.818965e-02 +3.094161e-01 +4.506826e-03 +6.861210e-03 +2.531052e-03 +0.000000e+00 +3.699064e-03 +0.000000e+00
 +8.893013e-05 +5.388260e-05 +8.727074e-03 +4.480100e-02 +3.872705e-02 +3.122189e-01 +4.403114e-03 +6.887913e-03 +2.300978e-03 +0.000000e+00 +3.942966e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.724928e-03 +4.467988e-02 +3.863907e-02 +3.125920e-01 +4.385948e-03 +6.848097e-03 +2.222061e-03 +0.000000e+00 +4.064083e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.774042e-03 +4.478788e-02 +3.869891e-02 +3.116560e-01 +4.426003e-03 +6.865025e-03 +2.289057e-03 +0.000000e+00 +3.851175e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.620024e-03 +4.473114e-02 +3.869009e-02 +3.121181e-01 +4.464865e-03 +6.860971e-03 +2.261162e-03 +0.000000e+00 +3.984928e-03 +0.000000e+00
 +9.703636e-05 +5.912781e-05 +8.732796e-03 +4.381776e-02 +3.763580e-02 +3.047180e-01 +4.097939e-03 +6.404877e-03 +2.501011e-03 +0.000000e+00 +4.671097e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.881807e-03 +4.392195e-02 +3.758621e-02 +3.045177e-01 +4.185915e-03 +6.352901e-03 +2.415895e-03 +0.000000e+00 +4.598856e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.666992e-03 +4.392481e-02 +3.771710e-02 +3.049259e-01 +4.155874e-03 +6.354809e-03 +2.431154e-03 +0.000000e+00 +4.551888e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.759975e-03 +4.388499e-02 +3.736401e-02 +3.046470e-01 +4.114866e-03 +6.380796e-03 +2.385139e-03 +0.000000e+00 +4.966021e-03 +0.000000e+00
 +1.769066e-04 +4.911423e-05 +8.765936e-03 +4.368782e-02 +3.756595e-02 +3.054490e-01 +4.025936e-03 +6.422043e-03 +2.375126e-03 +0.000000e+00 +4.845858e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.729935e-03 +4.386711e-02 +3.768682e-02 +3.055310e-01 +4.086018e-03 +6.431103e-03 +2.506018e-03 +0.000000e+00 +4.582882e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.840084e-03 +4.377580e-02 +3.769183e-02 +3.056197e-01 +4.070044e-03 +6.459951e-03 +2.383947e-03 +0.000000e+00 +4.797935e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +9.037018e-03 +4.373503e-02 +3.757715e-02 +3.053460e-01 +4.047871e-03 +6.476879e-03 +2.381802e-03 +0.000000e+00 +4.879951e-03 +0.000000e+00
 +1.330376e-04 +5.292892e-05 +8.702993e-03 +4.426813e-02 +3.782511e-02 +3.077540e-01 +4.225016e-03 +6.739855e-03 +2.355099e-03 +0.000000e+00 +4.275799e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.688927e-03 +4.420424e-02 +3.801870e-02 +3.078721e-01 +4.168987e-03 +6.670952e-03 +2.373934e-03 +0.000000e+00 +4.333019e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.955002e-03 +4.421210e-02 +3.802299e-02 +3.077660e-01 +4.382133e-03 +6.523848e-03 +2.280951e-03 +0.000000e+00 +4.085064e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.600950e-03 +4.421782e-02 +3.781390e-02 +3.077261e-01 +4.305124e-03 +6.716013e-03 +2.334833e-03 +0.000000e+00 +4.266024e-03 +0.000000e+00
