np_ave=17476
used mem size for tree=56109088
used mem size for tree(0)=0.056109088
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +3.390312e-04 +5.636930e-03 +1.543093e-02 +2.667999e-02 +3.519511e-02 +1.768329e-01 +1.683950e-03 +3.772974e-03 +2.799988e-03 +0.000000e+00 +1.365995e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.382089e-02 +2.662396e-02 +3.487468e-02 +1.763368e-01 +1.676083e-03 +4.588842e-03 +2.812862e-03 +0.000000e+00 +1.343584e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.347804e-02 +2.663398e-02 +3.524971e-02 +1.767819e-01 +1.680136e-03 +3.766060e-03 +2.788782e-03 +0.000000e+00 +1.380396e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.378489e-02 +2.660179e-02 +3.475499e-02 +1.764178e-01 +1.667023e-03 +4.114151e-03 +2.778053e-03 +0.000000e+00 +1.353121e-02 +0.000000e+00
 +3.731251e-04 +5.517006e-03 +1.510620e-02 +2.636695e-02 +3.485107e-02 +1.754489e-01 +2.060890e-03 +4.126072e-03 +2.737999e-03 +0.000000e+00 +1.299310e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.309490e-02 +2.664089e-02 +3.480911e-02 +1.752293e-01 +1.659155e-03 +4.182816e-03 +2.762079e-03 +0.000000e+00 +1.305509e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.332688e-02 +2.653313e-02 +3.539896e-02 +1.757910e-01 +1.674891e-03 +3.744125e-03 +2.784967e-03 +0.000000e+00 +1.337886e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.313901e-02 +2.674818e-02 +3.526974e-02 +1.757209e-01 +1.668930e-03 +3.759861e-03 +3.067017e-03 +0.000000e+00 +1.332188e-02 +0.000000e+00
 +3.449917e-04 +5.244970e-03 +1.549602e-02 +2.653193e-02 +3.534794e-02 +1.753271e-01 +1.636028e-03 +3.759146e-03 +2.726793e-03 +0.000000e+00 +1.398897e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.321507e-02 +2.650523e-02 +3.516579e-02 +1.752317e-01 +1.643181e-03 +3.736019e-03 +2.730131e-03 +0.000000e+00 +1.427102e-02 +0.000000e+00
